City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
79,Ipixuna,BR,-1.7625,-48.8043,76.95,78,92,3.6,overcast clouds
80,Atambua,ID,-9.1061,124.8925,80.65,51,71,3.83,broken clouds
81,Nikolskoye,RU,59.7035,30.7861,69.69,90,96,0.27,overcast clouds
82,Airai,TL,-8.9266,125.4092,69.03,52,100,4.05,overcast clouds
83,Puerto Ayora,EC,-0.7393,-90.3518,71.55,88,48,4.0,scattered clouds
84,Nouadhibou,MR,20.931,-17.0347,67.39,89,1,18.39,clear sky
85,Georgetown,MY,5.4112,100.3354,81.9,83,20,1.14,few clouds
86,Lasa,IT,46.6166,10.7002,54.34,90,100,3.06,overcast clouds
87,Vaini,TO,-21.2,-175.2,71.76,94,90,10.36,shower rain
88,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,4.61,broken clouds
89,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.73,90,13,14.81,few clouds
90,Bang Saphan,TH,11.2126,99.5117,78.19,86,100,2.46,moderate rain
91,Atuona,PF,-9.8,-139.0333,78.22,69,1,24.27,clear sky
92,Kamina,CD,-8.7386,24.9906,59.49,40,10,3.15,clear sky
93,Ahuimanu,US,21.4447,-157.8378,87.51,63,40,11.5,scattered clouds
94,Muros,ES,42.7762,-9.0603,64.09,74,82,13.87,broken clouds
95,Omsukchan,RU,62.5333,155.8,67.17,50,100,11.95,overcast clouds
96,Buchanan,LR,5.8808,-10.0467,75.58,81,100,7.83,overcast clouds
97,Kapaa,US,22.0752,-159.319,84.18,80,25,1.99,light rain
98,Klaksvik,FO,62.2266,-6.589,52.72,84,31,27.38,scattered clouds
99,Faanui,PF,-16.4833,-151.75,79.93,73,7,19.39,clear sky
100,Ribeira Grande,PT,38.5167,-28.7,70.54,81,87,10.04,overcast clouds
101,Dauriya,RU,49.9333,116.8667,71.37,71,12,12.37,few clouds
102,Hamilton,US,39.1834,-84.5333,80.44,76,23,3.15,few clouds
103,Tiksi,RU,71.6872,128.8694,42.84,67,95,19.1,overcast clouds
104,El Playon,CO,7.4713,-73.2031,77.27,92,98,6.64,light rain
105,Massa Marittima,IT,43.049,10.8928,66.96,85,21,3.67,few clouds
106,La Colmena,PY,-25.8833,-56.8167,72.01,46,100,5.26,overcast clouds
107,Lebu,CL,-37.6167,-73.65,48.88,78,68,2.04,broken clouds
108,Siverskiy,RU,59.3544,30.0783,68.88,92,52,1.72,broken clouds
109,Jacmel,HT,18.2342,-72.5347,75.04,83,98,2.71,overcast clouds
110,Cidreira,BR,-30.1811,-50.2056,61.23,84,100,6.89,moderate rain
111,Fortuna,US,40.5982,-124.1573,83.19,89,90,1.99,overcast clouds
112,Sitka,US,57.0531,-135.33,55.29,76,75,3.44,light rain
113,Cape Town,ZA,-33.9258,18.4232,50.11,80,0,8.05,clear sky
114,Imbituba,BR,-28.24,-48.6703,68.83,80,100,1.99,heavy intensity rain
115,Souillac,MU,-20.5167,57.5167,66.36,79,0,8.7,clear sky
116,Cabra,ES,37.4725,-4.4421,73.65,57,41,4.65,scattered clouds
117,Aswan,EG,24.0934,32.907,86.2,22,100,8.43,overcast clouds
118,Gazojak,TM,41.1875,61.4036,71.65,26,88,8.59,overcast clouds
119,Leningradskiy,RU,69.3833,178.4167,44.67,88,100,7.05,overcast clouds
120,Port Alfred,ZA,-33.5906,26.891,53.1,38,56,8.05,broken clouds
121,Yantikovo,RU,55.8216,47.9104,68.72,69,89,1.3,overcast clouds
122,Tabou,CI,4.423,-7.3528,75.97,75,100,4.56,overcast clouds
123,Thompson,CA,55.7435,-97.8558,81.64,27,53,1.72,broken clouds
124,Rio Gallegos,AR,-51.6226,-69.2181,33.85,93,0,11.5,clear sky
125,Abha,SA,18.2164,42.5053,67.33,61,93,5.93,overcast clouds
126,Dwarka,IN,22.2394,68.9678,82.96,83,100,5.17,overcast clouds
127,Ha Giang,VN,22.8333,104.9833,80.53,94,100,2.53,overcast clouds
128,Kalianget,ID,-7.05,113.9333,80.37,66,97,6.17,overcast clouds
129,Xining,CN,36.6167,101.7667,64.58,61,41,1.5,scattered clouds
130,Kosovska Mitrovica,XK,42.8833,20.8667,71.22,48,0,0.89,clear sky
131,Sabang,ID,5.8933,95.3214,81.73,74,100,18.99,overcast clouds
132,Itarema,BR,-2.9248,-39.9167,79.72,78,44,15.03,scattered clouds
133,Caravelas,BR,-17.7125,-39.2481,70.43,90,0,4.32,clear sky
134,Sioux Lookout,CA,50.1001,-91.917,69.01,45,100,3.11,overcast clouds
135,Torbay,CA,47.6666,-52.7314,62.89,83,3,15.97,clear sky
136,Lompoc,US,34.6391,-120.4579,78.94,75,8,7.0,clear sky
137,Victoria,HK,22.2855,114.1577,90.97,81,20,1.01,few clouds
138,San Vicente,AR,-26.6167,-54.1333,67.95,51,69,5.88,broken clouds
139,Oktyabrskiy,RU,54.4815,53.471,54.86,69,39,0.81,scattered clouds
140,Kupang,ID,-10.1667,123.5833,81.18,65,20,10.36,few clouds
141,Waddan,LY,29.1614,16.139,80.4,34,0,7.0,clear sky
142,Houma,US,29.5958,-90.7195,82.4,80,1,4.61,clear sky
143,Merauke,ID,-8.4667,140.3333,82.76,78,65,12.1,broken clouds
144,Lapeer,US,43.0514,-83.3188,80.28,78,1,3.44,clear sky
145,Ostrovnoy,RU,68.0531,39.5131,50.09,98,100,13.44,overcast clouds
146,Vila,PT,42.0304,-8.1588,52.74,83,99,5.97,overcast clouds
147,Tadpatri,IN,14.9167,78.0167,74.62,88,100,17.52,overcast clouds
148,Vao,NC,-22.6667,167.4833,69.75,61,98,15.95,overcast clouds
149,Saint-Junien,FR,45.8833,0.9,60.51,100,100,2.64,overcast clouds
150,Atasu,KZ,48.6814,71.6433,50.85,77,5,6.69,clear sky
151,Katsuura,JP,35.1333,140.3,80.71,76,100,5.12,overcast clouds
152,Guisa,CU,20.255,-76.5386,79.11,91,3,4.29,clear sky
153,Puerto Narino,CO,-3.7703,-70.3831,76.95,97,14,0.94,few clouds
154,Honningsvag,NO,70.9821,25.9704,49.41,85,0,7.92,clear sky
155,Morwell,AU,-38.2333,146.4,58.41,84,7,4.88,clear sky
156,Zaltan,LY,32.947,11.8665,75.9,73,0,9.57,clear sky
157,Yellowknife,CA,62.456,-114.3525,76.32,53,100,5.39,overcast clouds
158,Kaitangata,NZ,-46.2817,169.8464,48.92,58,100,3.31,overcast clouds
159,Dunedin,NZ,-45.8742,170.5036,48.79,61,100,8.01,overcast clouds
160,Vuktyl,RU,63.8567,57.3094,56.79,51,100,4.83,overcast clouds
161,Khatanga,RU,71.9667,102.5,46.58,74,100,17.94,overcast clouds
162,Yar-Sale,RU,66.8333,70.8333,51.12,57,0,5.84,clear sky
163,Zonguldak,TR,41.25,31.8333,61.52,94,0,3.15,clear sky
164,Rivne,UA,50.6231,26.2274,70.84,79,3,5.95,clear sky
165,Otane,NZ,-39.8833,176.6333,61.02,49,0,7.99,clear sky
166,Qeshm,IR,26.9581,56.2719,88.61,81,100,14.99,overcast clouds
167,Rochegda,RU,62.8,43.25,61.83,72,43,3.24,scattered clouds
168,Amazar,RU,53.858,120.875,65.03,86,93,5.37,overcast clouds
169,Bambous Virieux,MU,-20.3428,57.7575,66.22,75,8,10.2,clear sky
170,Altay,CN,47.8667,88.1167,70.16,41,43,1.99,scattered clouds
171,Norman Wells,CA,65.282,-126.8329,46.83,91,100,12.35,light rain
172,San Cristobal,VE,7.7669,-72.225,75.38,94,100,2.46,overcast clouds
173,Haines Junction,CA,60.7522,-137.5108,49.24,86,100,2.1,overcast clouds
