City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
277,Meulaboh,ID,77.36,overcast clouds,4.1363,96.1285,Kost Pria
282,Barao De Melgaco,BR,79.32,clear sky,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
285,Port-Gentil,GA,74.59,broken clouds,-0.7193,8.7815,Fengshui Residence
288,Dutse,NG,76.42,light rain,11.7594,9.3392,Central Mosque Galamawa
294,Gillette,US,78.06,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
295,Howell,US,78.94,clear sky,42.6073,-83.9294,Kensington Inn
304,Contamana,PE,78.51,scattered clouds,-7.3333,-75.0167,Shiringal Touristic Park
314,Wooster,US,78.15,broken clouds,40.8051,-81.9351,Hilton Garden Inn Wooster
319,Svetlyy,RU,75.25,light rain,54.675,20.1347,"Gostinitsa-Kafe, Alena"
321,Eyl,SO,78.48,overcast clouds,7.9803,49.8164,Amiin Hotel
330,Spencer,US,73.8,broken clouds,43.1414,-95.1444,Days Inn by Wyndham Hotel Spencer IA
332,Sinnamary,GF,77.25,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
335,Harper,LR,75.97,overcast clouds,4.375,-7.7169,Screensaver
339,Poum,NC,72.99,overcast clouds,-20.2333,164.0167,Gîte kajeon
344,Sapouy,BF,76.98,broken clouds,11.5544,-1.7736,Auberge St Louis
346,Jiuquan,CN,76.86,overcast clouds,39.7432,98.5174,Jiuquan Hotel
347,Odweyne,SO,70.79,overcast clouds,9.4092,45.064,Eng Hiirey House
349,Vitim,RU,76.51,overcast clouds,59.4511,112.5578,Gostinitsa V Apteke
355,Allapalli,IN,76.06,overcast clouds,19.4167,80.0667,Hotel IK Residency
356,Sao Gabriel Da Cachoeira,BR,71.67,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
358,Nisia Floresta,BR,76.01,clear sky,-6.0911,-35.2086,Rancho Crepusculo
361,Baruun-Urt,MN,73.51,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
362,Hoquiam,US,77.94,overcast clouds,46.9809,-123.8893,Econo Lodge Inn & Suites
363,Dauphin,CA,73.9,broken clouds,51.1494,-100.0502,Canway Inn & Suites
372,Tarakan,ID,76.5,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
375,Matay,EG,79.21,clear sky,28.419,30.7792,Nag Aespen
378,Westerly,US,77.05,clear sky,41.3776,-71.8273,La Quinta Inn & Suites by Wyndham Stonington-Mystic Area
387,Sibolga,ID,78.1,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
388,Belmonte,BR,72.1,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
390,Goderich,CA,75.9,overcast clouds,43.7501,-81.7165,Harmony Inn
