City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Corinto,GR,2021-07-13 00:28:11,37.9407,22.9573,83.68,51,0,4.63
68,Hamilton,US,2021-07-13 00:30:00,39.1834,-84.5333,82.35,79,1,1.01
69,Yellowknife,CA,2021-07-13 00:31:42,62.456,-114.3525,76.28,33,75,11.5
70,Chuy,UY,2021-07-13 00:31:42,-33.6971,-53.4616,58.96,89,57,6.49
71,Avarua,CK,2021-07-13 00:31:43,-21.2078,-159.775,80.65,69,20,12.66
72,Omaruru,NA,2021-07-13 00:31:43,-21.4333,15.9333,44.37,44,0,5.88
73,Sahuaripa,MX,2021-07-13 00:31:43,29.05,-109.2333,91.83,41,80,6.33
74,Bethel,US,2021-07-13 00:31:44,41.3712,-73.414,74.35,90,90,3.0
75,Cape Town,ZA,2021-07-13 00:31:44,-33.9258,18.4232,49.1,83,75,1.01
76,Marfino,RU,2021-07-13 00:31:44,55.7028,37.3822,71.1,75,0,4.47
77,Faanui,PF,2021-07-13 00:31:45,-16.4833,-151.75,79.63,74,12,20.54
78,Ancud,CL,2021-07-13 00:31:45,-41.8697,-73.8203,42.33,72,38,4.25
79,Hurghada,EG,2021-07-13 00:31:34,27.2574,33.8129,87.84,30,0,10.36
80,Katsuura,JP,2021-07-13 00:31:45,35.1333,140.3,80.71,79,100,2.24
81,Faya,SA,2021-07-13 00:29:50,18.3851,42.4509,72.12,34,100,4.56
82,Port Elizabeth,ZA,2021-07-13 00:31:27,-33.918,25.5701,52.11,46,0,40.29
83,Arlit,NE,2021-07-13 00:31:46,18.7369,7.3853,95.38,12,6,9.6
84,Valdivia,CL,2021-07-13 00:31:46,-39.8142,-73.2459,41.09,97,24,0.43
85,Kathu,TH,2021-07-13 00:31:47,7.9178,98.3332,81.7,94,100,7.0
86,Skibbereen,IE,2021-07-13 00:31:47,51.55,-9.2667,58.8,92,99,4.65
87,Bandarbeyla,SO,2021-07-13 00:31:47,9.4942,50.8122,80.13,66,100,29.04
88,Saint George,US,2021-07-13 00:31:01,37.1041,-113.5841,108.19,14,1,8.05
89,Kloulklubed,PW,2021-07-13 00:31:48,7.0419,134.2556,84.7,73,100,9.46
90,Marsh Harbour,BS,2021-07-13 00:31:48,26.5412,-77.0636,82.44,77,71,19.48
91,Anadyr,RU,2021-07-13 00:31:48,64.75,177.4833,70.3,56,0,2.24
92,Solnechnyy,RU,2021-07-13 00:31:49,50.7214,136.6319,77.59,75,100,6.11
93,Katangli,RU,2021-07-13 00:31:49,51.7102,143.2326,64.58,87,99,7.07
94,Vao,NC,2021-07-13 00:31:49,-22.6667,167.4833,67.24,66,100,14.58
95,Iqaluit,CA,2021-07-13 00:29:54,63.7506,-68.5145,46.13,81,75,8.01
96,Pevek,RU,2021-07-13 00:27:56,69.7008,170.3133,40.17,85,41,3.87
97,Uyuni,BO,2021-07-13 00:31:50,-20.4597,-66.825,43.59,27,94,5.14
98,Vila Velha,BR,2021-07-13 00:31:50,-20.3297,-40.2925,69.75,94,40,3.44
